,org_mode,dst_mode,bike_distance,bike_duration,bike_cost,taxi_cost,taxi_distance,taxis_duration,origin_1,destination_1
0,metro,metro,23073,92.28,4,69,23255,47.68,Weigongcun_m,Xihongmen_m
1,metro,metro,18749,75.0,3,57,19934,38.55,Weigongcun_m,Beiyuan_m
2,metro,metro,11321,45.28,2,32,11657,28.27,Weigongcun_m,Zhangzizhonglu_m
3,metro,metro,8933,35.73,2,27,9269,20.15,Weigongcun_m,Anzhenmen_m
4,metro,metro,17400,69.6,3,49,17677,29.3,Weigongcun_m,Donghuqu_m
5,metro,metro,13702,54.8,2,39,14342,29.57,Weigongcun_m,Niwa_m
6,metro,metro,25111,100.45,4,88,28792,48.45,Weigongcun_m,Dalianpo_m
7,metro,metro,9291,37.17,2,29,10292,26.48,Weigongcun_m,Wanshoulu_m
8,metro,metro,12438,49.75,2,36,13110,35.77,Weigongcun_m,Dengshikou_m
9,metro,metro,21107,84.43,3,62,21292,50.32,Weigongcun_m,Pingleyuan_m
10,metro,metro,9709,38.83,2,30,10785,22.68,Weigongcun_m,Lianhuaqiao_m
11,metro,metro,12792,51.17,2,38,14211,33.62,Weigongcun_m,Dongsishitiao_m
12,metro,metro,12823,51.28,2,36,13300,26.72,Weigongcun_m,Xiju_m
13,metro,metro,29553,118.22,4,89,29166,52.95,Weigongcun_m,Huangcunxidajie_m
14,metro,metro,25982,103.93,4,86,28399,54.25,Weigongcun_m,Xiaohongmen_m
15,metro,metro,20654,82.62,3,60,20897,46.4,Weigongcun_m,Panjiayuan_m
16,metro,metro,36112,144.45,5,122,38667,74.45,Weigongcun_m,Ciqunan_m
17,metro,metro,19721,78.88,3,72,24227,44.75,Weigongcun_m,Yuzhilu_m
18,metro,metro,15571,62.28,3,43,15913,40.45,Weigongcun_m,Hujialou_m
19,metro,metro,16729,66.92,3,49,17594,32.78,Weigongcun_m,Guozhuangzi_m
20,metro,metro,17202,68.8,3,59,20358,38.78,Weigongcun_m,Fengtainanlu_m
21,metro,metro,33401,133.6,5,105,33734,59.5,Weigongcun_m,Rongchangdongjie_m
22,metro,metro,16870,67.48,3,48,17178,38.97,Weigongcun_m,Yonganli_m
23,metro,metro,35947,143.78,5,119,37813,70.73,Weigongcun_m,Jiukeshu_m
24,metro,metro,15061,60.25,3,49,17525,34.2,Weigongcun_m,Chongwenmen_m
25,metro,metro,21292,85.16666667,3,65,22203,51.08333333,Weigongcun_m,Baiziwan_m
26,metro,metro,15507,62.03333333,3,43,15807,33.08333333,Weigongcun_m,Jianguomen_m
27,metro,metro,18996,75.98333333,3,58,20213,46.23333333,Weigongcun_m,Shuangjing_m
28,metro,metro,11461,45.85,2,30,10507,21.55,Weigongcun_m,Aotizhongxin_m
29,metro,metro,16480,65.91666667,3,52,18422,47.86666667,Weigongcun_m,Huoying_m
30,metro,metro,23172,92.68333333,4,69,23437,52.13333333,Weigongcun_m,Fenzhongsi_m
