,clable,station class,station_1
0,0,bus,Huoyingbeikou_b
1,0,bus,Xinyuanjie_b
2,0,bus,Jiangongbeili_b
3,0,bus,Wanshengbeili_b
4,0,bus,Lianyiyuanbeilu_b
5,0,bus,Baiwangshansenlingongyuan_b
6,0,bus,Jiaowangzhuangbeikou_b
7,1,bus,Xiaomachang_b
8,0,bus,Guangyangdajie_b
9,0,bus,Tiantongdongyuanerqu_b
10,0,bus,Zhongguojingjishibaoshe_b
11,0,bus,Longxiangxiaoqu_b
12,0,bus,Jindingjiewuqu_b
13,0,bus,Yuqiaozhonglu_b
14,0,bus,Dongzaolincun_b
15,0,bus,灜hailukoubei_b
16,1,bus,Wuzhuang_b
17,0,bus,Chedaogouqiaodong(xixing)_b
18,0,bus,Nanqijialukou_b
19,0,bus,Banbuqiao_b
20,0,bus,Zhangjiafen_b
21,0,bus,Ganjiakoudasha_b
22,0,bus,Zhengzhongzhuang_b
23,0,bus,Longyueyuanyiqudongmen_b
24,0,bus,Liaogongzhuangdong_b
25,0,bus,Nansiweixiaoxue_b
26,0,bus,Qiaozinan_b
27,0,bus,Nandingcun_b
28,0,bus,Yangzhuang_b
29,0,bus,Fangshanlizhuangbei_b
30,0,bus,Tianying_b
31,0,bus,Xifangezhuang_b
32,0,bus,Changpingxindian_b
33,0,bus,Yongfenglunanzhan_b
34,0,bus,Fengtailukoudong_b
35,0,bus,Shuinanzhuang_b
36,0,bus,Zhuangdaokou_b
37,0,bus,Dachengzhonglu_b
38,0,bus,Yanggezhuangcunbei_b
39,0,bus,Binhenanlunankou_b
40,0,bus,Weishanzhuangzhen_b
41,0,bus,Futongxidajiexikou_b
42,0,bus,Ditiecaoqiaozhan_b
43,0,bus,Xihuanzhonglu_b
44,0,bus,Hongkanglu_b
45,0,bus,Jugoucun_b
46,0,bus,Yinjiafenlukou_b
47,0,bus,Qianshan_b
48,0,bus,Tongzhoubeiyuanlukounan_b
49,0,bus,Longhuayuandongqu_b
50,0,bus,Baigezhuangxincunxiqu_b
51,0,bus,Ganjianyudaqiao_b
