,clable,new_class,station_1
0,0.0,4-199,Huoyingbeikou_b
1,1.0,4-187,Xinyuanjie_b
2,0.0,0-112,Jiangongbeili_b
3,0.0,7-93,Wanshengbeili_b
4,0.0,6-15,Lianyiyuanbeilu_b
5,0.0,4-39,Baiwangshansenlingongyuan_b
6,0.0,7-198,Jiaowangzhuangbeikou_b
7,1.0,0-84,Xiaomachang_b
8,0.0,0-62,Guangyangdajie_b
9,0.0,4-284,Tiantongdongyuanerqu_b
10,0.0,4-203,Zhongguojingjishibaoshe_b
11,0.0,4-314,Longxiangxiaoqu_b
12,0.0,2-36,Jindingjiewuqu_b
13,0.0,7-98,Yuqiaozhonglu_b
14,0.0,0-251,Dongzaolincun_b
15,0.0,0-216,灜hailukoubei_b
16,0.0,4-254,Wuzhuang_b
17,0.0,4-154,Chedaogouqiaodong(xixing)_b
18,0.0,4-238,Nanqijialukou_b
19,0.0,0-112,Banbuqiao_b
20,0.0,6-78,Zhangjiafen_b
21,1.0,4-188,Ganjiakoudasha_b
22,1.0,8-115,Zhengzhongzhuang_b
23,0.0,4-304,Longyueyuanyiqudongmen_b
24,0.0,2-22,Liaogongzhuangdong_b
25,1.0,6-147,Nansiweixiaoxue_b
26,1.0,8-97,Qiaozinan_b
27,0.0,0-31,Nandingcun_b
28,1.0,2-46,Yangzhuang_b
29,0.0,6-189,Fangshanlizhuangbei_b
30,0.0,12-92,Xifangezhuang_b
31,0.0,12-69,Changpingxindian_b
32,0.0,4-44,Yongfenglunanzhan_b
33,1.0,6-8,Fengtailukoudong_b
34,0.0,7-245,Shuinanzhuang_b
35,0.0,10-207,Zhuangdaokou_b
36,0.0,6-3,Dachengzhonglu_b
37,0.0,4-223,Yanggezhuangcunbei_b
38,0.0,7-218,Binhenanlunankou_b
39,0.0,0-234,Weishanzhuangzhen_b
40,0.0,7-45,Futongxidajiexikou_b
41,0.0,0-44,Ditiecaoqiaozhan_b
42,0.0,12-25,Xihuanzhonglu_b
43,0.0,0-153,Hongkanglu_b
44,0.0,12-16,Jugoucun_b
45,1.0,6-209,Yinjiafenlukou_b
46,0.0,10-32,Qianshan_b
47,0.0,7-104,Tongzhoubeiyuanlukounan_b
48,3.0,4-107,Longhuayuandongqu_b
49,0.0,4-205,Baigezhuangxincunxiqu_b
50,1.0,8-110,Ganjianyudaqiao_b
51,3.0,0-109,Xidanlukoudong_b
52,1.0,8-62,Nanhuayuansanqu_b
53,1.0,4-166,Jingouheqiaonan_b
54,1.0,4-77,Xisanqiqiaobei_b
55,0.0,7-336,Qingshancun_b
56,0.0,12-128,Xixinxiaoxue_b
57,0.0,7-147,Dashanzhuang_b
